"species","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","AUCdiff","CBItest","threshold","nobs","nthin","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain"
"Tachycineta bicolor",2489181,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta_bicolor.csv",0.729593970341857,0.110875216080382,0.9385,0.55478396,106021,103699,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;42.0202;0;50.9151;4.5275;2.4693;0;0;0;0.014;0;0;0;0.0539","0;31.4651;0;62.7153;3.2048;0.517;0;0;0.6064;2e-04;0;0;0;1.4912","L",2.5,0.733862461114634
"Tachycineta thalassina",5230754,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta_thalassina.csv",0.782340628639776,0.0410149369327744,0.89925,0.50337149,30099,29519,"AHM;CMD;CMI;DD18;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;RH;SHM;Tave_sp;bFFP","13.4946;25.1875;3.7707;17.1852;13.4508;1.0319;10.2343;4.6232;0.9413;2.3829;0;2.9688;4.5912;0.1375","15.516;7.966;0.1535;7.4781;21.3688;2.1832;17.8466;2.6959;0.1223;2.4534;2.5684;0.6962;3.4941;15.4575","P",0.5,0.811589517356711
"Tadarida brasiliensis",2433011,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida_brasiliensis.csv",0.760365942490145,0.174324078893314,0.732,0.60311924,764,758,"AHM;CMD;DD_0;EXT;Eref;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","21.908;11.8272;6.0581;0;1.5695;0.2223;0;8.797;14.1122;10.4556;5.0825;1.5359;0.3299;18.1019","13.1623;4.0139;1.2056;0.1782;1.3985;8.6444;0.8509;0.9229;15.3033;18.9134;1.4693;18.647;0.9377;14.3526","P",1.5,0.753992158757293
"Tadorna ferruginea",2498015,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna_ferruginea.csv",0.72049740544682,0.155815147478186,0.5785,0.58965601,19,18,"AHM;CMD;CMI;DD18;DD_0;EXT;Eref;MCMT;MSP;MWMT;PAS;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0;21.385;13.0156;0.2085;6.8801;0;5.8972;3.4847;12.42;9.1735;20.5957;0.3574;4.1102;2.4721;0","2.9029;0.2435;4.0255;28.8888;0.2774;3.2539;8.6195;0.4476;1.4747;5.8351;4.2518;13.8827;7.787;5.3083;3.7093;9.0922","LQHP",0.5,0.848247576435496
"Tamias merriami",2437444,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias_merriami.csv",0.786950840998726,0.124246705993822,0.832,0.5166647,219,218,"AHM;DD1040;DD_0;EXT;MCMT;MSP;PAS;PPT_sm;PPT_wt;RH;SHM","13.6853;25.3527;2.3054;1.9454;8.6259;0.6654;0.1225;5.2197;38.3906;1.2837;2.4034","24.4492;12.6599;3.2208;7.1336;1.9545;3.7897;2.0696;3.0254;11.3985;23.8998;6.3992","P",1.5,0.895412844036697
"Tamias sonomae",2437448,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias_sonomae.csv",0.925268156951934,0.0715435594582463,0.83425,0.67796911,48,48,"AHM;CMD;DD18;DD_0;EXT;PAS;PPT_at;PPT_sm;RH;SHM;Tave_sp","0;0;0;2.1767;0;0;39.5967;12.356;0;43.4379;2.4328","0;0;0.0544;3.9472;0;0;29.1002;0.7757;0;62.3576;3.7649","H",2.5,0.934613453815261
"Tamias striatus",2437438,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias_striatus.csv",0.773196107427645,0.0903672687656879,0.96975,0.6028489,5751,5734,"AHM;CMD;CMI;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","7.9359;0;7.2612;45.4582;3.8517;0;6.1402;0;19.9984;0.3587;0.3721;0;8.6237","5.2808;7.9884;11.5222;20.1957;5.2595;0;4.6383;0;8.1159;0.0207;0.1074;11.2549;25.6161","P",1.5,0.764040434973395
"Tamias townsendii",2437449,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias_townsendii.csv",0.745430046386774,0.0694208478746644,0.79775,0.5574518,317,306,"AHM;CMD;DD18;DD_0;EXT;PAS;PPT_sm;PPT_wt;RH;SHM;eFFP","2.5434;16.8537;0;13.9501;0;0.8534;7.7633;3.7819;17.1363;0;37.118","0.1936;40.0165;0;0.0372;0;0.0813;3.9806;7.4425;0.5117;0;47.7365","H",3,0.785854007074753
"Tamiasciurus douglasii",2437281,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus_douglasii.csv",0.742138357407815,0.109306022980993,0.92075,0.50514735,1067,1043,"AHM;CMD;DD18;DD_0;EXT;MCMT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_sp;bFFP","27.7007;4.4759;12.5023;26.5679;0;1.7307;0.7366;4.1411;3.9166;9.6299;0.1497;1.6414;3.2941;3.5131","16.6486;5.9489;21.4544;23.0138;0.002;0.0615;1.8042;1.3169;4.0238;2.3623;2.7263;11.3864;6.6018;2.649","P",2,0.840957420655407
"Tamiasciurus hudsonicus",2437282,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus_hudsonicus.csv",0.744448958301126,0.0948965669950107,0.933,0.57264387,5677,5600,"AHM;CMD;DD18;EXT;Eref;MCMT;NFFD;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_at;bFFP","0.0771;26.6403;9.6599;8.1829;2.2112;50.3168;0;0;2.8269;0;0;0.0849;0;0;0","7e-04;33.1364;3.6865;2.5181;0.0595;58.5396;0;0;2.0578;0;0;0.0014;0;0;0","Q",1.5,0.735786792813456
"Tantilla gracilis",2456417,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Tantilla","Tantilla_gracilis.csv",0.790552920572396,0.146835959684299,0.871,0.55765058,336,335,"EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;bFFP","4.3236;1.2737;5.3543;9.3057;8.3568;17.6218;13.2557;21.1814;0;19.3269","0.2799;0.0824;3.1239;5.1926;8.2851;20.7811;11.4779;22.2707;0;28.5065","L",2.5,0.758878083450344
"Tapinoma sessile",1316799,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Tapinoma","Tapinoma_sessile.csv",0.763148919439326,0.0878130828114559,0.91425,0.58701439,1342,1326,"AHM;CMD;CMI;DD18;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","10.7549;6.6667;0.1037;10.7058;15.6202;4.7729;12.1278;14.96;4.3049;1.2787;5.8762;0.6837;1.0478;2.5578;1.6459;6.8929","8.2684;10.6172;0.3818;10.1625;14.0631;3.6998;3.4495;3.969;3.1855;0.7939;4.0669;13.291;3.8392;12.3982;1.1;6.714","P",0.5,0.748850153863085
"Taricha granulosa",2431920,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha_granulosa.csv",0.782331643531462,0.0644931967523318,0.9555,0.59366302,1188,1128,"AHM;CMD;DD1040;DD18;DD_0;EMT;EXT;MSP;PAS;PPT_wt;RH;SHM","0.7214;2.3328;0;4.2021;0;91.8474;0.5496;0;0;0.3467;0;0","1.1321;3.9863;0;6.3842;0;88.4481;0.0362;0;0;0.0131;0;0","Q",2.5,0.846911605639343
"Taricha torosa",2431913,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Taricha","Taricha_torosa.csv",0.780249511410618,0.0885055124948137,0.9585,0.499505,583,564,"AHM;CMD;DD_0;MWMT;PAS;PPT_at;PPT_sm;RH;SHM;Tave_sp;bFFP","36.3039;0.4981;4.6616;0.2678;0.2787;7.47;22.3267;0.2578;10.8509;0.9937;16.0907","24.8405;4.641;0.8183;12.7641;1.1006;0.9781;10.4453;1.1463;5.0815;0.3629;37.8214","P",1.5,0.906596468374584
"Tarsiger cyanurus",2492509,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Tarsiger","Tarsiger_cyanurus.csv",0.761896748543536,0.162879533406813,0.7435,0.63624795,14,13,"AHM;CMD;DD18;DD_0;EMT;EXT;PAS;PPT_sm;PPT_wt;RH;SHM;Tave_sp","0;7.2197;0;0;0;0;65.4378;0;5.9908;21.3518;0;0","0;0.1908;0;0;0;0;84.7071;0;8.7235;6.3786;0;0","LQ",1,0.840991223541559
"Taxodiomyia cupressiananassa",1595940,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Taxodiomyia","Taxodiomyia_cupressiananassa.csv",0.673125076320823,0.104856203924132,0.56425,0.56652613,259,257,"AHM;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0.835;0;0;5.9313;15.5117;0;0;0.6501;0;6.1807;70.6552;0.2361","0.9068;6.9704;6.8941;9.7946;4.1605;8.5456;3.8246;0.2718;0;3.8166;54.7793;0.0358","H",3,0.760136509388176
"Taylorilygus apicalis",2010931,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Taylorilygus","Taylorilygus_apicalis.csv",0.685419207743868,0.156827500528056,0.62275,0.54126437,203,201,"AHM;CMD;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0.9903;15.9739;4.6104;2.4883;0;12.8356;0;0;11.402;2.6604;5.7821;9.4507;1.1312;7.9657;24.7095","0.9597;1.6737;0.3894;1.0555;0;2.7742;0;0;1.6793;0.3416;1.6923;60.7235;18.8417;1.4754;8.3938","L",1,0.772003031842409
"Telebasis salva",5051361,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Telebasis","Telebasis_salva.csv",0.715931607292392,0.17907708176476,0.738,0.59795167,814,811,"AHM;CMD;DD_0;EMT;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","16.4502;26.7873;24.1474;2.7707;10.083;0.7559;0.4317;1.8854;0;5.2565;0.2074;2.9133;1.5279;2.3456;2.876;1.5618","10.0575;3.0025;9.773;0.2924;14.3963;2.8284;1.6702;15.5452;0;2.5615;15.2063;3.8406;13.3607;3.8401;2.1447;1.4808","P",2.5,0.749128427573249
"Telmatoscopus albipunctata",5981282,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Telmatoscopus","Telmatoscopus_albipunctata.csv",0.716071415455155,0.0903084187371146,0.85725,0.46257815,1273,1242,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","2.8095;7.9757;3.0724;3.8071;2.4861;2.5648;10.3951;5.1864;16.0898;11.436;12.3117;2.5209;8.4166;10.9279","9.3564;2.445;2.1662;1.7527;8.5096;1.8336;1.3431;0.6875;10.214;21.0828;23.4995;1.2307;1.2638;14.615","H",0.5,0.803467365177106
"Tenodera angustipennis",4293587,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Tenodera","Tenodera_angustipennis.csv",0.876370471455231,0.0696662017038117,0.87675,0.57163055,170,165,"AHM;CMD;EXT;Eref;MAP;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","2.383;0;6.6208;23.7151;0;0;7.9042;48.4673;0.6404;3.0412;5.9702;1.166;0.0918","2.0612;0.8303;4.6496;19.6657;0.4402;0.4164;49.217;8.5755;4.0427;2.4015;6.738;0.8614;0.1006","LQHP",1,0.91017316017316
"Tenodera sinensis",5887934,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Tenodera","Tenodera_sinensis.csv",0.784869208183382,0.0741326969738388,0.965,0.5388291,3156,3130,"AHM;CMD;DD18;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;25.0571;23.2045;24.0146;6.6859;1.5195;2.5452;0.2998;2.7041;12.5672;0.5809;0.6211;0;0.2","0;35.4364;12.735;16.6871;2.1095;2.7986;0.0655;0.3855;1.2118;5.9677;0.0653;21.2443;0.0989;1.1945","L",0.5,0.816660423641929
"Terrapene carolina",2443173,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Terrapene","Terrapene_carolina.csv",0.656675394417427,0.0617469715836733,0.98475,0.6111464,9533,8920,"AHM;CMD;CMI;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;0;0;3.2519;52.6939;0;2.468;0.5114;18.9196;14.4795;0;0;7.388;0.2879;0","0;0;0;6.0587;49.1775;0;6.8283;0.3233;19.058;2.6206;0;0.0056;15.9123;0.0157;0","LQH",2,0.779388162281739
"Terrapene mexicana",8996950,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Terrapene","Terrapene_mexicana.csv",0.733865134315354,0.114787467532107,0.81,0.59565029,2275,2263,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp","2.9847;0.2925;4.0862;0.5057;4.6092;1.9656;0.2321;8.9015;0.2105;4.5376;42.3337;19.2705;1.3663;5.3576;3.3463","0.0879;1.072;3.8244;0.0705;0.8316;1.7219;0.0188;1.4896;0.4425;8.5368;51.8692;5.1593;0.9302;6.6103;17.3351","LQH",0.5,0.826949694342134
"Terrapene ornata",2443168,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Terrapene","Terrapene_ornata.csv",0.607091233839678,0.184579375301992,0.71925,0.57916005,1750,1741,"AHM;DD_0;EXT;Eref;MCMT;MWMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;SHM;bFFP","7.8366;8.2998;5.4646;3.3453;2.6002;4.1036;14.1271;13.0539;7.6642;1.1128;11.8487;8.2355;10.6865;1.6212","2.4119;15.3331;5.2846;3.1861;3.7282;7.6926;36.7295;1.3476;7.2527;3.1251;7.8132;1.9251;3.974;0.1964","H",1,0.781702284416285
"Tetanolita mynesalis",1795049,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Tetanolita","Tetanolita_mynesalis.csv",0.65608974428881,0.168372028483238,0.45425,0.48091968,526,521,"AHM;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","1.8214;8.7744;2.1258;4.6484;1.9025;0.6934;16.686;20.5253;17.2759;16.4234;1.8179;7.1288;0.1767","2.4677;8.9491;2.2923;1.4621;2.6969;0.2524;22.8224;4.1246;14.3671;18.4156;18.3758;3.4844;0.2897","LQH",1,0.764146222450912
"Tetracis cachexiata",5144575,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Tetracis","Tetracis_cachexiata.csv",0.739539761472323,0.147296880629679,0.8025,0.58817293,693,687,"CMD;CMI;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","6.5456;0.4362;1.1856;0;24.1554;5.9261;2.2012;0.254;7.2684;30.399;1.2345;1.3179;19.0761","0.7303;4.4527;33.029;3.8627;23.8344;0.5564;0.9398;0.0373;2.9471;19.5994;7.9807;0.1326;1.8974","LQ",0.5,0.732057820418831
"Tetramorium immigrans",10114596,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","Tetramorium_immigrans.csv",0.726003557267669,0.0810654304380543,0.81475,0.50780226,773,771,"AHM;CMD;DD18;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","2.8926;1.6;7.5914;16.2529;0.5821;14.6155;16.6714;7.3275;3.5245;3.8185;2.4348;0.2898;17.8484;0.0301;4.5206","5.9375;2.0961;11.1684;4.9138;18.0553;12.8563;2.4461;14.3586;0.6989;6.0125;1.4981;13.1941;2.682;0.636;3.4464","P",1.5,0.798229927161401
"Tetraopes femoratus",5002773,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Tetraopes","Tetraopes_femoratus.csv",0.780732628804529,0.0792910385907328,0.90275,0.75667782,379,379,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;12.8731;0;18.2612;9.2759;0.8287;0;19.133;13.7704;0;0.0481;1.8645;6.2269;3.6319;1.5645;12.5218","0.0608;11.1389;3.3533;9.0105;8.4489;0.0982;0;22.006;7.2795;22.8838;0.0037;0.3988;7.7125;2.0922;0.988;4.5248","LQ",2,0.776866447757161
"Tetraopes tetrophthalmus",5002722,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Tetraopes","Tetraopes_tetrophthalmus.csv",0.779440349359856,0.0196927571870805,0.9595,0.5966482,3162,3150,"AHM;CMD;DD_0;EXT;Eref;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;5.9424;0;5.5052;17.3569;0.2802;5.3789;0;3.7959;19.1531;35.4011;1.7442;5.4422","0;0.8636;5.1329;10.3281;27.7743;0.0372;9.0942;0.0646;17.1177;4.5987;23.7527;0.5037;0.7324","H",1,0.81264038647343
"Thalasseus elegans",2481285,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus_elegans.csv",0.793135413763661,0.116606401339652,0.891,0.52280517,2216,1105,"AHM;CMD;DD_0;DD_18;EMT;EXT;Eref;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;RH;SHM;bFFP","0.0627;3.8545;0;0.089;27.6748;0;0;13.6457;21.464;0;0;0;0.2075;12.5641;2.0304;18.4072","0.0024;1.8728;0;0.9871;28.3446;0;0.4798;9.7841;11.9106;7.3135;0;0;1.9037;25.5021;2.065;9.8343","H",3,0.917997968418137
"Thalasseus maximus",5789281,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus_maximus.csv",0.777221342155721,0.11865253129203,0.876,0.49971286,9881,5342,"AHM;CMD;EMT;EXT;Eref;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","5.6538;26.3935;25.078;0.6905;1.2084;1.0936;2.4181;0.3212;6.9083;2.3162;5.8897;0.083;7.5019;2.4379;7.4816;4.5241","1.1687;17.3946;3.4905;12.3376;2.6297;0.4009;1.4166;10.8038;6.1592;0.2489;6.0751;0.4926;19.8567;0.0714;0.961;16.4927","P",0.5,0.918102697172394
"Thalasseus sandvicensis",2481240,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus_sandvicensis.csv",0.814691438505409,0.100633605656643,0.892,0.52441901,4067,2209,"CMD;EMT;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","3.6588;9.0375;1.3032;16.5791;0;1.1914;11.1549;5.7661;11.6138;1.0908;6.6039;0.0317;23.2115;8.7572","9.0561;3.3635;4.9949;10.8956;0.23;0.3396;0.6824;28.0915;5.4561;0.0854;2.7212;1.9203;30.9062;1.257","P",1,0.917741082697866
"Thamnophis atratus",2457647,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_atratus.csv",0.755072249340945,0.121530436253602,0.9275,0.56867297,406,379,"CMD;DD18;EMT;EXT;PAS;PPT_sm;PPT_wt;RH;SHM;Tave_sp","8.4641;26.0197;11.6965;6.494;0;10.1861;12.9807;0;0;24.1591","8.02;43.3464;16.8938;0.223;2.4907;1.159;3.1771;0.3188;0;24.3711","LQH",2.5,0.853842262840581
"Thamnophis cyrtopsis",2457562,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_cyrtopsis.csv",0.780232690779638,0.077264264953698,0.89,0.56467873,847,846,"AHM;CMD;DD18;DD_0;EMT;EXT;Eref;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","21.1682;2.5517;6.9639;14.891;5.4642;3.7583;2.4776;0.3013;13.9001;10.6105;3.3085;1.9092;2.4215;10.274","5.3555;0.5305;2.2427;18.9262;15.6639;1.2873;0.6132;1.0025;8.368;24.9082;15.0538;1.8282;2.1848;2.0353","LQHP",0.5,0.806799889542206
"Thamnophis elegans",2457545,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_elegans.csv",0.781717127933474,0.0404055051016191,0.97125,0.58067218,2899,2823,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp","1.5917;4.177;5.3806;1.4017;13.3109;1.1286;11.7862;0.8082;22.7882;5.9579;5.4718;0.4932;3.7418;0.2929;21.6692","2.3246;22.0143;15.4172;0.1487;7.6672;0.409;2.1791;0.5576;1.4548;20.221;14.0095;7.8227;3.8922;0.0323;1.8498","LQHP",1,0.821079341368939
"Thamnophis marcianus",9342283,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_marcianus.csv",0.854084728298555,0.158535852598057,0.72,0.60985989,1219,1211,"CMD;DD18;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_sp;PPT_wt;RH;SHM;bFFP","14.0593;1.4499;12.6933;4.2624;4.3006;8.0589;2.4092;7.8351;10.4732;3.0745;0.3369;12.9494;18.0974","21.2339;12.1015;1.4896;2.798;1.8478;3.1576;9.2752;7.3287;25.1713;1.5288;4.2255;1.6796;8.1625","P",0.5,0.824960422950052
"Thamnophis ordinoides",2457636,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_ordinoides.csv",0.745221706455971,0.0466998880497656,0.9355,0.56285383,881,848,"AHM;CMD;DD1040;DD18;DD_0;EXT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_sp;eFFP","0;0;0;1.5781;24.427;11.1791;0;5.1152;12.2992;5.8879;10.475;8.98;18.1772;1.8813","1.1146;0;0;0.0709;66.5787;0.2924;0;0.0164;0.3309;1.7292;0.0993;4.2071;0.1008;25.4596","L",1,0.840576583831876
"Thamnophis proximus",2457575,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_proximus.csv",0.835622774794148,0.0491681537606209,0.94825,0.56258385,2183,2157,"AHM;CMD;DD18;DD_0;EXT;Eref;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;28.791;0;9.5341;9.3816;6.5401;0;0.4523;0.1789;0;0;2.2645;7.2574;0;0;35.6","0;27.6306;2.835;28.1581;2.6785;0.2749;0;0.0933;24.6784;0;1.0624;0.1688;7.4373;0.9656;0;4.017","LQ",1,0.8283466661251
"Thamnophis radix",2457512,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_radix.csv",0.699346050165047,0.14838233173717,0.57575,0.54030891,945,945,"CMD;DD18;EXT;MCMT;PAS;PPT_at;PPT_sm;PPT_wt;RH;SHM","15.287;20.886;5.2486;18.3055;11.7453;2.9075;3.7127;10.9971;2.2711;8.6393","6.3324;35.9948;3.2573;14.0545;3.6629;9.4708;7.0867;12.516;4.5963;3.0282","LQHP",0.5,0.784840160248549
"Thamnophis sirtalis",2457522,"Animalia","Chordata","Reptilia","Squamata","Natricidae","Thamnophis","Thamnophis_sirtalis.csv",0.770719466464098,0.0525997367002057,0.9385,0.60202289,13186,13083,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","14.2522;0.9311;19.0945;26.0634;0.0147;0.0607;18.9881;0;0.4869;14.4403;0;0;2.0049;3.6633","6.4935;24.2453;1.957;45.5279;0.245;0.0476;12.7998;1.0956;0.0142;0.87;0;3.5208;2.7689;0.4144","LQ",0.5,0.796671138294286
"Thasus neocalifornicus",2050094,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Thasus","Thasus_neocalifornicus.csv",0.82884563453532,0.0951694039895974,0.865,0.5218149,170,170,"AHM;CMI;DD18;DD_0;EXT;Eref;MAP;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;25.1704;0.5041;19.0936;2.04;0;0;3.1044;0;0.9995;7.0027;30.2845;1.4256;3.5544;6.821","0;4.7891;14.4463;2.1649;0.0942;0.0025;0;5.0304;0.5416;2.5776;0.9675;56.2576;4.0646;4.5918;4.472","LQH",2.5,0.871272229822161
"Thessalia theona",1895886,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Thessalia","Thessalia_theona.csv",0.666654373134536,0.170383615271338,0.49625,0.62745996,598,571,"AHM;CMD;DD_0;EMT;EXT;Eref;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","12.1734;8.23;0;30.2964;0;0;0;4.4831;6.6741;33.5596;0.6961;3.8873;0;0","2.8431;4.6026;0;22.8017;0;0;0;17.8792;20.4701;28.5493;0.0614;2.7294;0.0631;0","H",3,0.731810714824711
"Thomomys bottae",2439385,"Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys_bottae.csv",0.789701752433276,0.17708510619034,0.85275,0.5222059,1219,1193,"AHM;CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_wt;RH;SHM;Tave_sp;bFFP","10.3314;0.3208;19.13;1.2381;19.5136;0.5541;2.0777;31.1728;1.0981;6.8456;7.0622;0.6555","7.6144;0.8898;5.8235;1.7094;34.4761;1.1823;0.572;32.0885;5.8491;0.9186;2.2769;6.5994","LQHP",0.5,0.871608620778411
"Thorybes pylades",1946500,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thorybes","Thorybes_pylades.csv",0.75213679025063,0.110556903763875,0.7615,0.70128526,1193,1191,"AHM;CMD;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","9.3555;8.3664;15.8019;0.124;11.2543;2.3131;12.381;16.4272;1.2396;10.7363;3.2251;1.3018;0.3542;7.1195","16.7519;7.7469;14.5232;4.8404;4.9185;1.467;7.9866;9.3675;2.1564;7.4052;3.3369;4.5349;2.1537;12.8109","P",0.5,0.771333124757835
"Thryomanes bewickii",2493843,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Thryomanes","Thryomanes_bewickii.csv",0.764064703480012,0.0925353976413233,0.95025,0.56499007,26359,26164,"AHM;CMD;CMI;DD1040;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","1.5134;16.5411;0.8741;17.4003;17.783;0.4719;0.4662;6.6181;1.7762;0;6.9156;11.1883;8.8274;0.2984;3.8588;5.4672","7.8335;9.5604;0.0689;5.9759;26.9661;0.4046;1.5238;28.3884;3.4388;0;0.1689;5.9863;7.6292;0.6295;0.5653;0.8605","P",0.5,0.808559460100344
"Thryothorus ludovicianus",2493801,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Thryothorus","Thryothorus_ludovicianus.csv",0.713676657987269,0.0752624679144533,0.938,0.53369734,67952,67344,"CMD;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","5.6093;64.3521;0;0;0;0;0.3775;0;2.2577;11.3521;11.8782;3.1531;1.0198","37.1712;57.1035;0.008;0;0;0;0.109;0.079;0.1841;0.7858;2.3364;2.1526;0.0703","LQ",0.5,0.776526936218567
